REGION,SURROGATE,SURROGATE CODE,DATA SHAPEFILE,DATA ATTRIBUTE,WEIGHT SHAPEFILE,WEIGHT ATTRIBUTE,WEIGHT FUNCTION,FILTER FUNCTION,MERGE FUNCTION,SECONDARY SURROGATE,TERTIARY SURROGATE,QUARTERNARY SURROGATE,DETAILS,COMMENTS
USA,NLCD Med Intensity Development,301,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,GRIDCODE=23,,Suburban Housing,Population,NLCD Land,Locations of NLCD Med Intensity Residential Land: 50%-79% Impervious,
USA,NLCD High Intensity Development,302,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,GRIDCODE=24,,Urban Housing,Population,NLCD Land,Locations of NLCD High Intensity Residential Land: >79% Impervious,
USA,NLCD Open Space,303,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,GRIDCODE=21,,Population,NLCD Land,,Locations of NLCD Open Space Land: < 20% Impervious,
USA,NLCD Open + Low,304,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,"GRIDCODE=21,22",,Rural Housing,Population,NLCD Land,Locations of NLCD Impervious < 49%,
USA,NLCD Low + Med,305,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,"GRIDCODE=22,23",,Suburban Housing,Population,NLCD Land,Locations of NLCD Impervious 20% - 79%,
USA,NLCD Med + High,306,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,"GRIDCODE=23,24",,Urban Housing,Population,NLCD Land,Locations of NLCD Impervious > 50% ,
USA,NLCD All Development,307,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,"GRIDCODE=21,22,23,24",,Urban Housing,Population,NLCD Land,Locations of all NLCD Impervious > 0 ,
USA,NLCD Low + Med + High,308,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,"GRIDCODE=22,23,24",,Urban Housing,Population,NLCD Land,Locations of NLCD Impervious > 20% ,
USA,NLCD Open + Low + Med,309,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,"GRIDCODE=21,22,23",,Urban Housing,Population,NLCD Land,Locations of NLCD Impervious < 80% ,
USA,NLCD Total Agriculture,310,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,"GRIDCODE=81,82",,Rural Housing,NLCD Land,,Locations of NLCD categories Pasture/Hay and Row Crops,
USA,NLCD Pasture Land,318,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,GRIDCODE=81,,Rural Housing,NLCD Land,,Locations of NLCD Pasture/Hay category,
USA,NLCD Crop Land,319,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,GRIDCODE=82,,Rural Housing,NLCD Land,,Locations of NLCD Row Crops category,
USA,NLCD Forest Land,320,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,"GRIDCODE=41,42,43",,Rural Housing,NLCD Land,,Location of NLCD categories deciduous+evergreen+mixed forest,
USA,NLCD Recreational Land,321,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,"GRIDCODE=21,31,41,42,43,52,71",,Rural Housing,NLCD Land,,Location of NLCD categories where recreation may occur,
USA,NLCD Land,340,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,GRIDCODE!=11,,,,,Locations of NCLD land categories,
USA,NLCD Water,350,cb_2014_us_county_500k_Poly,GEOID,CONUS_AK_NLCD_2011_500m_WGS,NONE,,GRIDCODE=11,,,,,Locations of NLCD water category,
USA,Commercial Land,500,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,COM1+COM2+COM3+COM4+COM5+COM6+COM7+COM8+COM9,,,Population,NLCD Land,,Sum of building square footage from the following FEMA categories:  COM1 + COM2 + COM3 + COM4 + COM5 + COM6 + COM7 + COM8 + COM9,
USA,Industrial Land,505,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,IND1+IND2+IND3+IND4+IND5+IND6,,,Population,NLCD Land,,Sum of building square footage from the following FEMA categories:  IND1 + IND2 + IND3 + IND4 + IND5 + IND6,
USA,Education,506,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,EDU1+EDU2,,,Population,NLCD Land,,Sum of building square footage from the following FEMA categories:  Grade Schools + Colleges/Universities,
USA,Heavy Light Construction Industrial Land,507,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,IND1+IND2+IND6,,,Population,NLCD Land,,Sum of building square footage from the following FEMA categories:  IND1 + IND2 + IND3 + IND4 + IND5 + IND6,
USA,Commercial plus Industrial,510,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,COM1+COM2+COM3+COM4+COM5+COM6+COM7+COM8+COM9+IND1+IND2+IND3+IND4+IND5+IND6,,,Population,NLCD Land,,Sum of building square footage from the following FEMA categories:  COM1 + COM2 + COM3 + COM4 + COM5 + COM6 + COM7 + COM8 + COM9 + IND1 + IND2 + IND3 + IND4 + IND5 + IND6,
USA,Commercial plus Institutional Land,515,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,COM1 + COM2 + COM3 + COM4 + COM5 + COM6 + COM7 + COM8 + COM9 + RES5 + RES6 + EDU1 + EDU2 + REL1,,,Population,NLCD Land,,Sum of building square footage from the following FEMA categories:  COM1 + COM2 + COM3 + COM4 + COM5 + COM6 + COM7 + COM8 + COM9 + RES5 + RES6 + EDU1 + EDU2 + REL1,
USA,Commercial plus Industrial plus Institutional,520,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,COM1 + COM2 + COM3 + COM4 + COM5 + COM6 + COM7 + COM8 + COM9 + IND1 + IND2 + IND3 + IND4 + IND5 + IND6 + RES5 + RES6 + EDU1 + EDU2 + REL1,,,Population,NLCD Land,,Sum of building square footage from the following FEMA categories:  COM1 + COM2 + COM3 + COM4 + COM5 + COM6 + COM7 + COM8 + COM9 + IND1 + IND2 + IND3 + IND4 + IND5 + IND6 + RES5 + RES6 + EDU1 + EDU2 + REL1,
USA,Golf Courses plus Institutional plus Industrial plus Commercial,525,cb_2014_us_county_500k_Poly,GEOID,,,,,0.5*Commercial plus Industrial plus Institutional+0.5*Golf Courses,Golf Courses,Commercial plus Industrial plus Institutional,Population,Combination of point golf courses with FEMA building square footages for all categories in Commerical plus Institutional Land and Industrial Land,
USA,Residential - Non-Institutional,526,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,RES1+RES2+RES3,,,Housing,Population,,FEMA building square footage for single family homes trailer parks and multi-family,
USA,Single Family Residential,527,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,RES1,,,,Housing,Population,NLCD Land,building square footage from single family dwellings (RES1) ,For Secondary gap-filling.  Not in Table1. Available U.S. surrogates.
USA,Residential + Commercial + Industrial + Institutional + Government,535,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,COM1 + COM2 + COM3 + COM4 + COM5 + COM6 + COM7 + COM8 + COM9 +  IND1 +IND2 + IND3 +  IND4 + IND5 + IND6 + EDU1 + EDU2 + REL1 + GOV1 + GOV2 + RES1 + RES2 + RES3 + RES4,,,Population,NLCD Land,,sum of building square footage from the following FEMA categories:  COM1 + COM2 + COM3 + COM4 + COM5 + COM6 + COM7 + COM8 + COM9 +  IND1 +IND2 + IND3 +  IND4 + IND5 + IND6 + EDU1 + EDU2 + REL1 + GOV1 + GOV2 + RES1 + RES2 + RES3 + RES4,
USA,Retail Trade (COM1),540,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,COM1,,,,Personal Repair (COM3),Commercial Land,Population,"building square footage from Retail Trade:  SIC Codes:  52,53,54,55,56,57,59",
USA,Personal Repair (COM3),545,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,COM3,,,,Commercial Land,Population,NLCD Land,"building square footage from Personal/Repair Services:  SIC Codes:  72,75,76,83,88",
USA,Professional/Technical (COM4) plus General Government (GOV1),555,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,COM4+GOV1,,,Commercial Land,Residential + Commercial + Industrial + Institutional + Government,Population,sum of building square footage from the following FEMA categories:  COM4 + GOV1,
USA,Hospital (COM6),560,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,COM6,,,,Commercial Land,Population,,"building square footage from Hospitals:  SIC Codes:  8062,8063,8069",
USA,Light and High Tech Industrial (IND2 + IND5),575,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,IND2+IND5,,,Industrial Land,Population,NLCD Land,sum of building square footage from the following FEMA categories:  IND2 + IND5,Total Industrial in Table1. Available U.S. Surrogates is the same as Industrial Land?
USA,Food Drug Chemical Industrial (IND3),580,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,IND3,,,,Industrial Land,Population,NLCD Land,"building square footage from Food/Drugs/Chemical Factories:  SIC Codes:  20,21,28,29",
USA,Metals and Minerals Industrial (IND4),585,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,IND4,,,,Industrial Land,Population,NLCD Land,"building square footage from Metals/Minerals Processing Factories:  SIC Codes:  10,12,13,14,33",
USA,Heavy Industrial (IND1),590,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,IND1,,,,Industrial Land,Population,NLCD Land,"building square footage from Heavy Industrial Factories - SIC Codes:  22,24,26,32,34,35 (except 3571,3572), 37",Total Industrial in Table1. Available U.S. Surrogates is the same as Industrial Land?
USA,Light Industrial (IND2),595,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,IND2,,,,Industrial Land,Population,NLCD Land,"building square footage from Light Industrial Factories:  SIC Codes:  23,25,27,30,31,36 (except 3671,3672,3674), 38,39",Total Industrial in Table1. Available U.S. Surrogates is the same as Industrial Land?
USA,Industrial plus Institutional plus Hospitals,596,cb_2014_us_county_500k_Poly,GEOID,fema_bsf_2002bnd,,IND1+IND2+IND3+IND4+IND5+IND6+COM6+EDU1+EDU2+REL1+RES5+RES6,,,Population,NLCD Land,,"sum of building square footage from IND1, IND2, IND3, IND4, IND5, IND6, COM6, EDU1, EDU2, REL1, RES5, RES6",
USA,Refineries and Tank Farms,650,cb_2014_us_county_500k_Poly,GEOID,EIA_2015_US-Oil,NONE,,,,Industrial Land,Population,NLCD Land,Number of Oil Refineries and Tank Farms,
USA,Spud Count - CBM Wells,670,cb_2014_us_county_500k_Poly,GEOID,SpudCount_CBM,SPUD_COU_1,,,,Industrial Land,Population,NLCD Land,,
USA,Spud Count - Gas Wells,671,cb_2014_us_county_500k_Poly,GEOID,SpudCount_Gas,SPUD_COU_1,,,,Industrial Land,Population,NLCD Land,,
USA,Gas Production at Oil Wells,672,cb_2014_us_county_500k_Poly,GEOID,AssocGasProduction,ASSOCIAT_1,,,,Industrial Land,Population,NLCD Land,,
USA,Oil Production at CBM Wells,673,cb_2014_us_county_500k_Poly,GEOID,CondensateCBMProd,CONDENSA_1,,,,Industrial Land,Population,NLCD Land,,
USA,Unconventional Well Completion Counts,674,cb_2014_us_county_500k_Poly,GEOID,SpudCount_HF,SPUD_HF_21,,,,Industrial Land,Population,NLCD Land,,
USA,Well Count - All Producing,676,cb_2014_us_county_500k_Poly,GEOID,AllProductionWells,TOTAL_PR_1,,,,Industrial Land,Population,NLCD Land,,
USA,Well Count - All Exploratory,677,cb_2014_us_county_500k_Poly,GEOID,AllExploratoryWells,TOTAL_EX_1,,,,Industrial Land,Population,NLCD Land,,
USA,Completions at Gas Wells,678,cb_2014_us_county_500k_Poly,GEOID,Completions_Gas,COMPLETI_1,,,,Industrial Land,Population,NLCD Land,,
USA,Completions at CBM Wells,679,cb_2014_us_county_500k_Poly,GEOID,Completions_CBM,COMPLETI_1,,,,Industrial Land,Population,NLCD Land,,
USA,Spud Count - Oil Wells,681,cb_2014_us_county_500k_Poly,GEOID,SpudCount_Oil,SPUD_COU_1,,,,Industrial Land,Population,NLCD Land,,
USA,Produced Water at All Wells,683,cb_2014_us_county_500k_Poly,GEOID,ProducedWater_All,PRODUCED_1,,,,Industrial Land,Population,NLCD Land,,
USA,Completions at Oil Wells,685,cb_2014_us_county_500k_Poly,GEOID,Completions_Oil,COMPLETI_1,,,,Industrial Land,Population,NLCD Land,,
USA,Completions at All Wells,686,cb_2014_us_county_500k_Poly,GEOID,Completions_All,COMPLETI_1,,,,Industrial Land,Population,NLCD Land,,
USA,Feet Drilled at All Wells,687,cb_2014_us_county_500k_Poly,GEOID,FeetDrilled_All,FEET_DRI_1,,,,Industrial Land,Population,NLCD Land,,
USA,Well Counts -  CBM Wells,691,cb_2014_us_county_500k_Poly,GEOID,CBMWell_Counts,CBM_WELLS1,,,,Industrial Land,Population,NLCD Land,,
USA,Spud Count - All Wells,692,cb_2014_us_county_500k_Poly,GEOID,SpudCount_All,SPUD_COU_1,,,,Industrial Land,Population,NLCD Land,,
USA,Well Count - All Wells,693,cb_2014_us_county_500k_Poly,GEOID,AllWells,TOTAL_WE_1,,,,Industrial Land,Population,NLCD Land,,
USA,Oil Production at Oil Wells,694,cb_2014_us_county_500k_Poly,GEOID,OilProduction,OIL_PROD_1,,,,Industrial Land,Population,NLCD Land,,
USA,Well Count - Oil Wells,695,cb_2014_us_county_500k_Poly,GEOID,OilWell_Counts,OIL_WELL_1,,,,Industrial Land,Population,NLCD Land,,
USA,Gas Production at Gas Wells,696,cb_2014_us_county_500k_Poly,GEOID,GasProduction,GAS_PROD_1,,,,Industrial Land,Population,NLCD Land,,
USA,Oil Production at Gas Wells,697,cb_2014_us_county_500k_Poly,GEOID,CondensateGasProd,CONDENSA_1,,,,Industrial Land,Population,NLCD Land,,
USA,Well Count - Gas Wells,698,cb_2014_us_county_500k_Poly,GEOID,GasWell_Counts,GAS_WELL_1,,,,Industrial Land,Population,NLCD Land,,
USA,Gas Production at CBM Wells,699,cb_2014_us_county_500k_Poly,GEOID,CBMProduction,CBM_PROD_1,,,,Industrial Land,Population,NLCD Land,,
USA,Airport Points,710,cb_2014_us_county_500k_Poly,GEOID,US_Airports_NEI08v2_WRF,TOTAL_EMIS,,,,Population,NLCD Land,,Number of Airports in the NEI08v2 weighted by total emissions,
USA,Airport Areas,711,cb_2014_us_county_500k_Poly,GEOID,airport-area,AREA,,,,Airport Points,Population,NLCD Land,Area of Commercial Airports,
USA,Port Areas,801,cb_2014_us_county_500k_Poly,GEOID,Ports_2014NEI,Area_sqmi,,,,Navigable Waterway Miles,NLCD Water,,Area of Port Locations,
USA,Gulf Shipping Lanes,803,ShippingLanes_2014NEI,FIPS,GulfofMexico_SupportVessels_Density_WRF,Fraction,,,,Offshore Shipping Area,Navigable Waterway Miles,NLCD Water,Area of near shore to offshore shipping lanes,
USA,Offshore Shipping Area,805,ShippingLanes_2014NEI,FIPS,ShippingLanes_2014NEI,Area_sqmi,,,,,,,NEI shipping surrogate of near shore to international waters boundary,
USA,Offshore Shipping NEI2014 Activity,9806,ShippingLanes_2014NEI,FIPS,ShippingLanes_2014NEI,ActivityKW,,,,Offshore Shipping Area,Navigable Waterway Miles,NLCD Water,NEI shipping surrogate of near shore to international waters boundary weighted by activity from the NEI2014,
USA,Offshore Shipping NEI2014 Activity,806,ShippingLanes_2014NEI,FIPS,ShippingLanes_2014NEI,ActivityKW,,,,Offshore Shipping Area,Navigable Waterway Miles,NLCD Water,NEI shipping surrogate of near shore to international waters boundary weighted by activity from the NEI2014,
USA,Navigable Waterway Miles,807,cb_2014_us_county_500k_Poly,GEOID,NTAD_2014_Waterway,LENGTH,,,,NLCD Water,,,NTAD line shapefile of navigable waterways,
USA,Ports NEI2014 Activity,820,cb_2014_us_county_500k_Poly,GEOID,Ports_2014NEI,ACTIVITYKW,,,,Port Areas,Navigable Waterway Miles,NLCD Water,Port areas weighted by activity from NEI2014,
USA,Golf Courses,850,cb_2014_us_county_500k_Poly,GEOID,POI-Factory_2015_GolfCourses,NONE,,,,Housing,Population,NLCD Land,Point locations of Golf Courses,
USA,Mines,860,cb_2014_us_county_500k_Poly,GEOID,USGS_2011_mines,NONE,,DEV_STAT=Producer,,Rural Housing,NLCD Land,,Active mine locations,
USA,Commercial Timber,890,cb_2014_us_county_500k_Poly,GEOID,USFS_2016_TimberHarvest,NONE,,,,NLCD Forest Land,Rural Housing,Population,Possible Timber Removal Locations,
CA,BULLS,92401,lcd_000b16a_e,FIPS,naesi_dat,BULLS,,,,,,,BULLS,
CA,BFCOWS,92402,lcd_000b16a_e,FIPS,naesi_dat,BFCOWS,,,,,,,BFCOWS,
CA,BFHEIF,92403,lcd_000b16a_e,FIPS,naesi_dat,BFHEIF,,,,,,,BFHEIF,
CA,CALFU1,92404,lcd_000b16a_e,FIPS,naesi_dat,CALFU1,,,,,,,CALFU1,
CA,FDHEIF,92405,lcd_000b16a_e,FIPS,naesi_dat,FDHEIF,,,,,,,FDHEIF,
CA,STEERS,92406,lcd_000b16a_e,FIPS,naesi_dat,STEERS,,,,,,,STEERS,
CA,MLKCOW,92407,lcd_000b16a_e,FIPS,naesi_dat,MLKCOW,,,,,,,MLKCOW,
CA,MLKHEIF,92408,lcd_000b16a_e,FIPS,naesi_dat,MLKHEIF,,,,,,,MLKHEIF,
CA,MBULLS,92409,lcd_000b16a_e,FIPS,naesi_dat,MBULLS,,,,,,,MBULLS,
CA,MCALFU1,92410,lcd_000b16a_e,FIPS,naesi_dat,MCALFU1,,,,,,,MCALFU1,
CA,BROILER,92412,lcd_000b16a_e,FIPS,naesi_dat,BROILER,,,,,,,BROILER,
CA,LAYHEN,92413,lcd_000b16a_e,FIPS,naesi_dat,LAYHEN,,,,,,,LAYHEN,
CA,TURKEY,92414,lcd_000b16a_e,FIPS,naesi_dat,TURKEY,,,,,,,TURKEY,
CA,BOARS,92416,lcd_000b16a_e,FIPS,naesi_dat,BOARS,,,,,,,BOARS,
CA,GRWPIG,92417,lcd_000b16a_e,FIPS,naesi_dat,GRWPIG,,,,,,,GRWPIG,
CA,NURPIG,92418,lcd_000b16a_e,FIPS,naesi_dat,NURPIG,,,,,,,NURPIG,
CA,SOWS,92419,lcd_000b16a_e,FIPS,naesi_dat,SOWS,,,,,,,SOWS,
CA,IMPAST,92421,lcd_000b16a_e,FIPS,naesi_dat,IMPAST,,,,,,,IMPAST,
CA,UNIMPAST,92422,lcd_000b16a_e,FIPS,naesi_dat,UNIMPAST,,,,,,,UNIMPAST,
CA,ALFALFA,92423,lcd_000b16a_e,FIPS,naesi_dat,ALFALFA,,,,,,,ALFALFA,
CA,BARLEY,92424,lcd_000b16a_e,FIPS,naesi_dat,BARLEY,,,,,,,BARLEY,
CA,BUCWHT,92425,lcd_000b16a_e,FIPS,naesi_dat,BUCWHT,,,,,,,BUCWHT,
CA,CANARY,92426,lcd_000b16a_e,FIPS,naesi_dat,CANARY,,,,,,,CANARY,
